Category,Permission,Description,Administrator,Owner,Editor,Coder,Viewer,Notes
Project Access,View project,Open the project at all,Yes,Yes,Yes,Yes,Yes,
Project Access,View project dashboard/home,See project overview and summaries,Yes,Yes,Yes,Yes,Yes,
Project Access,View project metadata,See project name description and settings summary,Yes,Yes,Yes,Yes,Yes,
Project Access,Edit project metadata,Change project name description and other core metadata,Yes,Yes,Yes,No,No,
Project Access,Delete project,Permanently delete the project,Yes,Yes,No,No,No,Administrator may need to be added as an override outside normal membership
Project Access,Export or backup project,Create project backup or export files,Yes,Yes,Yes,No,No,
Project Access,Restore or import project backup,Restore a project from a backup or import package,Yes,Yes,No,No,No,
Project Membership,View project users,See project members and roles,Yes,Yes,Yes,Yes,Yes,
Project Membership,Invite or add users,Add users to a project,Yes,Yes,Yes,No,No,
Project Membership,Remove users,Remove users from a project,Yes,Yes,No,No,No,
Project Membership,Change user roles,Promote or demote project members,Yes,Yes,No,No,No,
Project Membership,Transfer ownership,Hand project ownership to another member,Yes,Yes,No,No,No,
Documents,View documents list,See available documents,Yes,Yes,Yes,Yes,Yes,
Documents,Open document details,Read a document,Yes,Yes,Yes,Yes,Yes,
Documents,Create document manually,Add a typed document,Yes,Yes,Yes,No,No,
Documents,Upload single document,Upload one supported file,Yes,Yes,Yes,No,No,
Documents,Batch upload documents,Upload multiple supported files,Yes,Yes,Yes,No,No,
Documents,Spreadsheet import documents,Create documents from CSV or XLSX rows,Yes,Yes,Yes,No,No,
Documents,Edit document metadata,Change document name description or type,Yes,Yes,Yes,No,No,
Documents,Edit document content,Change the main text content,Yes,Yes,Yes,No,No,
Documents,Delete document,Remove a document,Yes,Yes,Yes,No,No,
Documents,Associate documents with cases,Link or unlink documents to cases,Yes,Yes,Yes,No,No,
Documents,View document attributes,See document attribute values,Yes,Yes,Yes,Yes,Yes,
Documents,Edit document attributes,Change attribute values on documents,Yes,Yes,Yes,No,No,
Documents,Create document attributes,Add new document attribute definitions,Yes,Yes,Yes,No,No,
Documents,Delete document attributes,Remove document attribute definitions or values,Yes,Yes,No,No,No,
Cases,View cases list,See all cases,Yes,Yes,Yes,Yes,Yes,
